epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.503,1.80495,6.63742,1.8862,0.00156,0.08929,0.00092,0.00045,1.85441,32.4042,2.28494,0.00043303,0.00043303,0.00043303
2,207.038,1.74847,4.34722,1.91436,0.00321,0.42262,0.00271,0.0022,1.83734,25.4703,2.26628,0.000891358,0.000891358,0.000891358
3,287.957,1.47049,3.68151,1.64463,0.50788,0.14286,0.14338,0.06799,1.52512,4.00302,1.79249,0.00133082,0.00133082,0.00133082
4,363.571,1.16885,3.32292,1.45755,0.89097,0.28571,0.28949,0.18141,1.31503,3.42762,1.60381,0.00134412,0.00134412,0.00134412
5,438.786,1.14297,3.22254,1.38295,0.97968,0.28571,0.38707,0.22585,1.23282,3.28244,1.529,0.00131582,0.00131582,0.00131582
6,511.174,1.10525,3.02162,1.33803,0.83084,0.28571,0.40372,0.21959,1.05311,3.21941,1.38464,0.00128753,0.00128753,0.00128753
7,589.724,1.0771,2.80201,1.35233,0.51356,0.375,0.38874,0.19972,1.07058,3.12987,1.34707,0.00125923,0.00125923,0.00125923
8,666.944,1.09271,2.68728,1.35769,0.56335,0.375,0.37159,0.20308,1.04205,3.11458,1.3235,0.00123094,0.00123094,0.00123094
9,754.375,0.97606,2.55702,1.24545,0.30413,0.33333,0.29722,0.21209,0.94569,2.86502,1.28563,0.00120265,0.00120265,0.00120265
10,831.747,1.03773,2.47495,1.26786,0.5511,0.28571,0.37923,0.28609,0.92013,2.77654,1.27249,0.00117435,0.00117435,0.00117435
11,911.256,0.88906,2.22023,1.22724,0.5475,0.34724,0.41384,0.33405,0.8664,2.40725,1.27487,0.00114606,0.00114606,0.00114606
12,984.463,0.94482,2.2447,1.26968,0.2341,0.5119,0.45267,0.3669,0.91122,2.37911,1.27489,0.00111776,0.00111776,0.00111776
13,1061.42,0.84858,2.02447,1.15118,0.98461,0.28571,0.45537,0.35053,0.91252,2.25131,1.29469,0.00108947,0.00108947,0.00108947
14,1138.42,0.92457,2.09417,1.23203,0.97745,0.28571,0.452,0.31324,0.87288,2.35854,1.30993,0.00106118,0.00106118,0.00106118
15,1221.53,0.88134,1.94731,1.19193,0.90427,0.37478,0.48433,0.34987,0.85786,2.2823,1.29215,0.00103288,0.00103288,0.00103288
16,1298.7,0.81519,1.81655,1.12984,0.37593,0.36886,0.49535,0.36717,0.93783,2.3126,1.35434,0.00100459,0.00100459,0.00100459
17,1376.39,0.80711,1.85325,1.20535,0.32091,0.63294,0.50393,0.40282,0.86939,2.10625,1.3139,0.000976293,0.000976293,0.000976293
18,1455.56,0.80643,1.80595,1.15276,0.3171,0.64881,0.51195,0.45357,0.80772,1.92273,1.25095,0.000947999,0.000947999,0.000947999
19,1531.55,0.7516,1.69766,1.12169,0.43943,0.48097,0.51994,0.43288,0.7693,1.68171,1.18439,0.000919704,0.000919704,0.000919704
20,1609.61,0.78607,1.68009,1.13463,0.50377,0.54619,0.5484,0.47232,0.78852,1.66344,1.19738,0.00089141,0.00089141,0.00089141
21,1688.63,0.73491,1.67315,1.10437,0.49374,0.64881,0.58502,0.50846,0.74598,1.616,1.18316,0.000863116,0.000863116,0.000863116
22,1763.62,0.76154,1.67023,1.0918,0.50872,0.50595,0.5638,0.50498,0.73756,1.55468,1.17062,0.000834822,0.000834822,0.000834822
23,1844.68,0.7627,1.51865,1.11841,0.57517,0.44204,0.55089,0.49877,0.73629,1.55113,1.17395,0.000806528,0.000806528,0.000806528
24,1967.83,0.69364,1.53525,1.07358,0.52292,0.46429,0.54736,0.48943,0.70651,1.57299,1.15556,0.000778233,0.000778233,0.000778233
25,2116.74,0.67471,1.55544,1.07191,0.58244,0.53819,0.58389,0.51864,0.674,1.43906,1.12849,0.000749939,0.000749939,0.000749939
26,2242.16,0.69015,1.4978,1.0827,0.6906,0.5119,0.62525,0.55568,0.65163,1.36221,1.10782,0.000721645,0.000721645,0.000721645
27,2324.35,0.741,1.54627,1.0953,0.47934,0.77381,0.6794,0.59895,0.65361,1.31621,1.08675,0.000693351,0.000693351,0.000693351
28,2410.4,0.66668,1.4412,1.05083,0.54965,0.72379,0.67756,0.60244,0.63227,1.29185,1.06958,0.000665057,0.000665057,0.000665057
